'Mint Sauce', 'Red Sauce', 'Plain Papadum', 'Spicy Papadum', 'Puree', 'Mushroom Rice', 'Bombay Aloo', 'Chicken Tikka Jalfrezi', 'Bhuna',,,,,,,,,,,,,,,,,,,,
'Mango Chutney', 'Plain Papadum', 'Naan', 'Pilau Rice', 'Plain Rice', 'Keema Naan', 'Bombay Aloo', 'Chicken Tikka Masala', 'Kurma',,,,,,,,,,,,,,,,,,,,
'Mint Sauce', 'Plain Papadum', 'Naan', 'Keema Naan', 'Pilau Rice', 'Chicken Tikka Pasanda', 'Pathia',,,,,,,,,,,,,,,,,,,,,,
'Red Sauce', 'Plain Papadum', 'Garlic Naan', 'Mixed Starter', 'Bombay Aloo', 'Cauliflower Bhajee', 'Mushroom Bhajee', 'Chicken Tikka Biryani',,,,,,,,,,,,,,,,,,,,,
'Plain Papadum', 'Green Salad', 'Coke 1.5 ltr', 'Lamb Biryani',,,,,,,,,,,,,,,,,,,,,,,,,
'Mixed Raita', 'Crispy Aloo', 'Lamb Biryani',,,,,,,,,,,,,,,,,,,,,,,,,,
'Plain Papadum', 'Spicy Papadum', 'Naan', 'French Fries', 'Keema Rice', 'Mixed Starter', 'Aloo Gobi', 'Dhansak', 'Tandoori Chicken Masala',,,,,,,,,,,,,,,,,,,,
'Mint Sauce', 'Lime Pickle', 'Plain Papadum', 'Saag Rice', 'Murgh Masala', 'Kurma',,,,,,,,,,,,,,,,,,,,,,,
'Mango Chutney', 'Onion Chutney', 'Plain Papadum', 'Naan', 'Pilau Rice', 'Chicken Tikka Jalfrezi', 'Chicken Biryani', 'Chicken Tikka Balti',,,,,,,,,,,,,,,,,,,,,
'Naan', 'Masala Sauce', 'Madras', 'Tandoori Chicken (Main)',,,,,,,,,,,,,,,,,,,,,,,,,
'Paneer Shaslick', 'Tandoori Mixed Grill',,,,,,,,,,,,,,,,,,,,,,,,,,,
'Naan', 'Pilau Rice', 'Mini Bhaji', 'Chicken Tikka Masala',,,,,,,,,,,,,,,,,,,,,,,,,
'Kulcha Naan', 'Mini Bhaji', 'Vegetable Samosa', 'Bhindi Bhajee', 'Paneer Tikka Masala',,,,,,,,,,,,,,,,,,,,,,,,
'Chapati', 'Onion Bhaji', 'Chana Masala', 'Chicken Tikka (Main)',,,,,,,,,,,,,,,,,,,,,,,,,
'Pilau Rice', 'Madras', 'Chicken Biryani',,,,,,,,,,,,,,,,,,,,,,,,,,
'Red Sauce', 'Naan', 'Pilau Rice', 'Keema Naan', 'Bhuna', 'Kurma',,,,,,,,,,,,,,,,,,,,,,,
'Plain Rice', 'Onion Bhaji', 'Meat Samosa', 'Madras',,,,,,,,,,,,,,,,,,,,,,,,,
'Peshwari Naan', 'Vegetable Rice', 'Mushroom Rice', 'Lamb Tikka Pasanda', 'Chicken Tikka Pasanda',,,,,,,,,,,,,,,,,,,,,,,,
'Mango Chutney', 'Onion Chutney', 'Mint Sauce', 'Plain Papadum', 'Naan', 'Garlic Naan', 'Pilau Rice', 'Crispy Aloo', 'Prawn Puree', 'Tandoori Chicken', 'Mixed Starter', 'Mushroom Bhajee', 'Bombay Aloo', 'Madras', 'Madras', 'Curry',,,,,,,,,,,,,
'Pilau Rice', 'French Fries', 'Bombay Aloo', 'Curry',,,,,,,,,,,,,,,,,,,,,,,,,
'Garlic Naan', 'Lemon Rice', 'Special Fried Rice', 'Crispy Aloo', 'Bombay Aloo', 'Lal Mirch Lamb', 'Chicken Rezala', 'Dupiaza',,,,,,,,,,,,,,,,,,,,,
'Naan', 'Royal Paneer', 'Chicken Tikka Karahi',,,,,,,,,,,,,,,,,,,,,,,,,,
'Plain Papadum', 'Peshwari Naan', 'Pilau Rice', 'Mini Bhaji', 'Saag Aloo', 'Tarka Dall', 'Chicken Tikka (Main)', 'Kurma', 'Paneer Shaslick',,,,,,,,,,,,,,,,,,,,
'Plain Papadum', 'Pilau Rice', 'Prawn Puree', 'Cauliflower Bhajee', 'Chicken Tikka Pasanda', 'Tandoori Chicken (Main)', 'Lamb Balti',,,,,,,,,,,,,,,,,,,,,,
'Brinjal Bhajee', 'Saag',,,,,,,,,,,,,,,,,,,,,,,,,,,
'Red Sauce', 'Mango Chutney', 'Mint Sauce', 'Plain Papadum', 'Pilau Rice', 'Mini Bhaji', 'Chicken Tikka Masala', 'Kurma',,,,,,,,,,,,,,,,,,,,,
